battery,brand,device,display_size,frontal_camera,internal_memory,operating_system,price,ram,rear_camera
3.800 mAh,Motorola,Motorola Razr 40 Ultra 512 GB con obsequio,"6.9, 3.63 (CLI)",32 Mpx,512 GB,Android 13,$6.698.900,12 GB,12 Mpx
,Vivo,vivo Y36 256 GB 4G Con Obsequio,"6.63""",16 Mpx,256 GB,Android 13,$1.539.900,8 GB,50 Mpx
,Huawei,Huawei Nova Y61 128 GB con obsequio,N/A,5 Mpx,128 GB,EMUI 13,$699.900,4 GB,50 Mpx
5.100 mAh,Honor,Honor Magic 5 Lite 256 GB con obsequio,"6,67""",16 Mpx,256 GB,Android 12,$1.799.900,8 GB,64 Mpx
,Samsung,Samsung Galaxy Z Flip 5 256GB con Obsequio,"6.7""",10 Mpx,256 GB,Android 13,$5.999.950,8 GB,12 Mpx
,Samsung,Samsung Galaxy A34 128 GB 5G,"6,6""",13 Mpx,128 GB,Android 13,$1.339.950,6 GB,48 Mpx
5.000 mAh,Vivo,vivo Y27 128GB 4G,"6.64""",8 Mpx,128 GB,Android 13,$932.900,6 GB,50 Mpx
4.400 mAh,Motorola,Motorola Edge 30 Fusión 256Gb 5G,"6,6""",32 Mpx,256 GB,Android 12,$2.095.900,12 GB,50 Mpx
,Motorola,Motorola Moto G72 128GB,"6,6""",16 Mpx,128 GB,Android 12,$899.900,6 GB,108 Mpx
5.000 mAh,ZTE,ZTE Blade A52 64GB 4G,"6.52""",5 Mpx,64 GB,Android 11,$299.900,2 GB,13 Mpx
,Honor,Honor X6 64GB 4G,"6.5""",5 Mpx,64 GB,Android 12,$496.900,4 GB,50 Mpx
,Oppo,Oppo A57 128GB,"6,5""",8 Mpx,128 GB,Android 12,$799.900,4 GB,13 Mpx
4.500 mAh,Nokia,Nokia G60 128GB 5G Dual Sim,"6,58""",8 Mpx,128 GB,Android One 12,$1.459.900,6 GB,50 Mpx
4.500 mAh,Oppo,Oppo Reno 7 256GB 4G con Obsequio,N/A,32 Mpx,256 GB,Android 12,$1.898.900,8 GB,64 Mpx
6.000 mAh,ZTE,ZTE Blade V40 Vita 128GB 4G,"6.745""",8 Mpx,128 GB,Android 11,$554.900,4 GB,48 Mpx
,Apple,iPhone 14 Pro Max 128GB 5G,"6.7""",12 Mpx,128 GB,iOS 16,$6.072.960,6 GB,48 Mpx
5.000 mAh,TECNO,Tecno Camon 19 Neo 128 GB 4G,"6,78""",32 Mpx,128 GB,Android 12,$779.900,6 GB,48 Mpx
5.000 mAh,Vivo,vivo Y22S 128GB 4G,"6.55""",8 Mpx,128 GB,Android 12,$849.900,4 GB,50 Mpx
5.000 mAh,Xiaomi,Xiaomi Redmi 12C 128GB,"6,71""",5 Mpx,128 GB,Android 12,$628.900,4 GB,50 Mpx
4.020 mAh,Motorola,Motorola Moto Edge 30 Neo 128GB,"6,3""",32 Mpx,128 GB,Android 12,$1.427.900,8 GB,64 Mpx
5.000 mAh,Honor,Honor X6s 128GB,"6,5""",5 Mpx,128 GB,Android 12,$599.900,4 GB,50 Mpx
5.000 mAh,Oppo,Oppo A77 128GB 4G,"6,5""",8 Mpx,128 GB,Android 12,$932.900,4 GB,50 Mpx
,Vivo,vivo V25 Pro 256GB 5G Con Obsequio,"6.56""",32 Mpx,256 GB,Android 12,$2.853.900,12 GB,64 Mpx
